en la mesa|à table|at the table
un trozo de|un morceau de|a piece of
una rebanada de|une tranche de|a slice of
un lata de|une boîte de|a can of
carne asada|un rôti de boeuf|a beef roast
una chuleta de cerdo|une côtelette de porc|a pork chop
una docena de huevos|une douzaine d'oeufs|a dozen eggs
adjetivos|adjectifs|adjectives
delicioso / deliciosa|délicieux / délicieuse|delicious
fresco / fresca|frais / fraîche|fresh
picante|épicé(e)|spicy
al grill|grillé(e)|grilled
cortado / cortada|hâché(e)|chopped
salado(a)|salé(e)|salty
azucarado(a)|sucré(e)|sweet
los verbos|verbes|verbs
tener hambre / tener sed|avoir faim / avoir soif|to be hungry / to be thirsty
beber|boire|to drink
almorzar|déjeuner|to have lunch
cenar|dîner|to have dinner
ir a comprar al supermercado|faire le marché|to go grocery shopping
cocinar|faire la cuisine|to cook
tener una comida|prendre un repas|to have a meal
fregar los platos|faire la vaisselle|to do the dishes
engordar|grossir|to gain weight
hacer dieta|faire un régime|to be on a diet
perder peso|maigrir|to lose weight
escojer|choisir|to choose
acabar|finir|to finish
crecer|grandir|to grow up
obedecer|obéir à|to obey
reflexionar|réfléchir à|to reflect (on)
tener éxito|réussir à|to succeed
creer|croire|to believe
tomar|prendre|to take
aprender|(apprendre à quelqu'un)|to learn
enseñar|apprendre|(to teach someone)
entender|comprendre|to understand
sorprender|surprendre|to surprise
